worker_id,date,earnings,hours,deliveries,delivery_timestamp,time_slot,rating,acceptance_rate,cancellations,weekly_variance
W001,08-02-2026,258,6.3,5,17:10:00,night,4.14,0.74,2,447
W001,10-02-2026,1320,5.2,20,18:10:00,night,4.34,0.71,3,394
W001,12-02-2026,1073,3.4,17,19:10:00,night,4.11,0.7,3,318
W001,14-02-2026,1235,3.4,15,20:10:00,afternoon,4.45,0.78,3,368
W001,15-02-2026,669,4.1,8,21:10:00,afternoon,4.25,0.85,3,377
W001,17-02-2026,258,4,5,22:10:00,evening,4.1,0.73,2,371
W001,18-02-2026,326,7.6,5,23:10:00,evening,4.28,0.75,3,352
W001,19-02-2026,822,3.6,12,00:10:00,afternoon,4.47,0.77,3,420
W001,20-02-2026,935,4.6,12,01:10:00,night,4.27,0.73,2,383
W001,21-02-2026,365,6.5,5,02:10:00,afternoon,4.34,0.77,3,404
W001,22-02-2026,1221,4.8,18,03:10:00,afternoon,4.03,0.72,2,442
W001,23-02-2026,494,3.6,6,04:10:00,afternoon,4.35,0.77,4,325
W001,24-02-2026,761,5.1,8,05:10:00,afternoon,4.23,0.81,2,354
W001,25-02-2026,956,5.9,13,06:10:00,morning,4.4,0.79,3,310
W001,28-02-2026,688,6.6,9,07:10:00,evening,4.32,0.73,3,420
W001,01-03-2026,1023,4.4,16,08:10:00,night,4.21,0.84,2,426
W002,06-01-2026,1045,6.5,14,09:10:00,morning,4.64,0.95,0,155
W002,07-01-2026,1060,3.2,15,10:10:00,night,4.69,0.95,1,165
W002,08-01-2026,1133,6.3,15,11:10:00,afternoon,4.99,0.97,1,107
W002,09-01-2026,1096,3.8,14,12:10:00,morning,4.79,0.91,0,143
W002,11-01-2026,1241,3.3,17,13:10:00,evening,4.83,0.9,0,110
W002,12-01-2026,1146,7.2,16,14:10:00,evening,4.86,0.97,0,176
W002,13-01-2026,1236,7.9,15,15:10:00,morning,4.72,0.98,1,121
W002,14-01-2026,1206,6.5,15,16:10:00,night,4.85,0.9,0,104
W002,15-01-2026,1074,4.4,13,17:10:00,afternoon,4.83,0.9,1,134
W002,16-01-2026,963,7.1,14,18:10:00,night,4.72,0.97,1,137
W002,17-01-2026,995,5.7,13,19:10:00,night,4.88,0.97,0,159
W002,18-01-2026,1000,5.4,16,20:10:00,night,4.7,0.93,1,143
W002,19-01-2026,1043,6,14,21:10:00,morning,4.94,0.96,1,150
W002,20-01-2026,1257,4.7,18,22:10:00,night,4.74,0.95,1,141
W002,21-01-2026,1177,3.2,17,23:10:00,morning,4.69,0.91,1,149
W002,22-01-2026,1099,6.1,17,00:10:00,morning,4.78,0.91,0,176
W002,23-01-2026,1191,6.8,17,01:10:00,morning,4.97,0.94,1,117
W002,24-01-2026,982,6.2,13,02:10:00,morning,4.65,0.97,0,125
W002,25-01-2026,1085,6.2,16,03:10:00,afternoon,4.89,0.95,1,111
W002,26-01-2026,1165,8,17,04:10:00,night,4.98,0.91,1,104
W002,27-01-2026,1032,7.1,15,05:10:00,morning,4.68,0.97,0,120
W002,28-01-2026,956,3.4,14,06:10:00,night,4.72,0.9,1,111
W002,29-01-2026,1167,6.9,15,07:10:00,morning,4.8,0.98,1,128
W002,30-01-2026,1106,5,13,08:10:00,evening,4.98,0.93,1,130
W002,31-01-2026,1216,3.7,15,09:10:00,morning,4.95,0.98,0,151
W002,01-02-2026,1245,5.2,16,10:10:00,night,4.64,0.96,0,134
W002,04-02-2026,1245,5.8,15,11:10:00,morning,4.83,0.9,0,160
W002,05-02-2026,1335,7.4,17,12:10:00,morning,4.97,0.9,0,142
W002,06-02-2026,1042,4.5,13,13:10:00,afternoon,4.74,0.95,1,138
W002,07-02-2026,812,6.2,10,14:10:00,night,4.86,0.96,1,103
W002,08-02-2026,1204,7.3,18,15:10:00,afternoon,4.94,0.91,0,141
W002,10-02-2026,1246,4.7,17,16:10:00,morning,4.66,0.92,1,121
W002,11-02-2026,975,3.1,14,17:10:00,night,4.92,0.93,0,129
W002,12-02-2026,1169,5.1,17,18:10:00,evening,4.73,0.95,1,137
W002,13-02-2026,827,3.2,11,19:10:00,afternoon,4.66,0.91,0,177
W002,14-02-2026,1196,7.4,19,20:10:00,afternoon,4.71,0.97,1,122
W002,15-02-2026,1242,4.2,18,21:10:00,morning,4.97,0.91,1,169
W002,16-02-2026,1035,6.1,16,22:10:00,night,4.7,0.94,1,123
W002,17-02-2026,781,4.7,10,23:10:00,morning,4.73,0.97,1,158
W002,19-02-2026,1017,6.3,16,00:10:00,morning,4.97,0.95,1,142
W002,20-02-2026,1199,5.9,15,01:10:00,morning,4.83,0.93,0,105
W002,21-02-2026,1289,3.4,20,02:10:00,evening,4.69,0.98,0,124
W002,22-02-2026,1231,5.3,16,03:10:00,evening,4.62,0.96,1,114
W002,24-02-2026,1180,7.9,17,04:10:00,morning,4.65,0.91,1,146
W002,25-02-2026,791,4.1,10,05:10:00,night,4.83,0.98,0,166
W002,26-02-2026,1275,6.1,17,06:10:00,night,4.79,0.91,1,176
W002,27-02-2026,741,7.1,9,07:10:00,afternoon,4.67,0.94,0,116
W002,01-03-2026,1191,4.9,18,08:10:00,afternoon,4.7,0.92,0,121
W003,02-01-2026,1026,4.8,15,09:10:00,night,4.71,0.96,0,161
W003,03-01-2026,1102,5.9,15,10:10:00,evening,4.64,0.94,1,156
W003,05-01-2026,901,4.9,12,11:10:00,afternoon,4.91,0.92,0,146
W003,06-01-2026,915,7.4,11,12:10:00,morning,4.86,0.97,0,144
W003,07-01-2026,1066,3.3,17,13:10:00,afternoon,4.76,0.95,0,128
W003,09-01-2026,1032,7.5,12,14:10:00,morning,4.72,0.92,0,112
W003,10-01-2026,1106,7.5,16,15:10:00,evening,4.71,0.95,1,162
W003,11-01-2026,1092,4.3,15,16:10:00,night,4.9,0.92,0,109
W003,12-01-2026,1106,6.4,13,17:10:00,morning,4.81,0.95,0,171
W003,13-01-2026,1172,3.3,18,18:10:00,morning,4.66,0.97,0,131
W003,14-01-2026,1127,5,17,19:10:00,night,4.65,0.96,0,170
W003,15-01-2026,1020,4.1,12,20:10:00,night,4.81,0.95,1,149
W003,16-01-2026,1153,3.7,15,21:10:00,morning,4.77,0.92,1,124
W003,17-01-2026,980,3.5,12,22:10:00,evening,4.86,0.95,1,165
W003,18-01-2026,1374,4.1,21,23:10:00,afternoon,4.64,0.95,1,137
W003,19-01-2026,1093,4.2,15,00:10:00,evening,4.86,0.93,1,127
W003,20-01-2026,1398,5.3,20,01:10:00,morning,4.84,0.92,1,126
W003,21-01-2026,1257,6.4,16,02:10:00,evening,4.94,0.97,0,176
W003,22-01-2026,1152,4.8,14,03:10:00,evening,4.7,0.95,1,102
W003,23-01-2026,887,7,10,04:10:00,night,4.99,0.96,1,147
W003,26-01-2026,1291,5.4,17,05:10:00,night,4.66,0.94,1,106
W003,27-01-2026,1250,3.9,15,06:10:00,evening,4.88,0.95,0,107
W003,28-01-2026,1087,5.1,17,07:10:00,afternoon,4.99,0.98,1,178
W003,29-01-2026,877,6.5,11,08:10:00,afternoon,4.68,0.95,1,172
W003,31-01-2026,1213,3.6,15,09:10:00,morning,4.74,0.94,1,115
W003,02-02-2026,1036,4.2,15,10:10:00,morning,4.91,0.95,1,132
W003,03-02-2026,888,6.9,11,11:10:00,morning,4.67,0.9,0,166
W003,04-02-2026,1113,5.3,16,12:10:00,afternoon,4.95,0.9,0,125
W003,05-02-2026,906,6.9,11,13:10:00,night,4.74,0.93,1,139
W003,08-02-2026,1032,4.9,14,14:10:00,evening,4.79,0.91,1,113
W003,09-02-2026,1257,4.3,17,15:10:00,morning,4.84,0.9,0,123
W003,10-02-2026,915,5.6,11,16:10:00,evening,4.69,0.91,0,116
W003,11-02-2026,994,4.3,12,17:10:00,afternoon,4.67,0.98,1,179
W003,12-02-2026,973,6.6,13,18:10:00,morning,4.73,0.94,0,111
W003,13-02-2026,953,3.4,14,19:10:00,evening,4.92,0.97,1,102
W003,14-02-2026,923,6.1,15,20:10:00,evening,4.71,0.94,0,125
W003,15-02-2026,945,7.8,14,21:10:00,night,4.78,0.93,1,112
W003,17-02-2026,1024,7.5,14,22:10:00,night,4.76,0.9,0,131
W003,18-02-2026,1169,6.1,16,23:10:00,afternoon,4.8,0.92,1,134
W003,19-02-2026,1198,7,18,00:10:00,afternoon,5,0.94,0,117
W003,21-02-2026,1214,3.4,19,01:10:00,night,4.94,0.92,1,177
W003,22-02-2026,1099,5.5,17,02:10:00,night,4.94,0.97,1,105
W003,23-02-2026,1055,4.9,14,03:10:00,night,4.94,0.94,0,149
W003,24-02-2026,1202,6.1,19,04:10:00,night,4.73,0.97,0,163
W003,26-02-2026,1147,5.7,14,05:10:00,afternoon,4.69,0.96,0,150
W003,27-02-2026,1153,4.7,17,06:10:00,evening,4.83,0.92,1,174
W003,28-02-2026,1060,6.8,14,07:10:00,night,4.98,0.91,1,123
W003,01-03-2026,867,7.2,11,08:10:00,night,4.77,0.94,0,118
W004,01-01-2026,949,4.6,13,09:10:00,afternoon,4.66,0.9,0,134
W004,03-01-2026,1238,6.4,18,10:10:00,evening,4.99,0.96,1,148
W004,04-01-2026,1013,7.7,14,11:10:00,afternoon,4.69,0.98,0,115
W004,05-01-2026,979,5.7,14,12:10:00,night,4.7,0.96,0,115
W004,06-01-2026,1140,6.1,16,13:10:00,night,4.61,0.96,0,100
W004,07-01-2026,1040,7.3,12,14:10:00,morning,4.78,0.97,0,168
W004,08-01-2026,1098,3.5,15,15:10:00,afternoon,4.65,0.98,0,160
W004,09-01-2026,702,5.7,8,16:10:00,night,4.76,0.97,0,162
W004,10-01-2026,1060,3.4,17,17:10:00,morning,4.72,0.92,1,120
W004,12-01-2026,1280,7.2,20,18:10:00,night,4.61,0.95,1,132
W004,13-01-2026,1073,5.7,14,19:10:00,night,4.77,0.96,1,148
W004,14-01-2026,1145,4.7,15,20:10:00,evening,4.97,0.92,0,173
W004,17-01-2026,935,5.9,12,21:10:00,evening,4.9,0.98,0,102
W004,19-01-2026,1194,7.8,19,22:10:00,night,4.97,0.98,0,120
W004,20-01-2026,1082,7.3,14,23:10:00,night,4.94,0.92,1,152
W004,22-01-2026,1099,6.2,13,00:10:00,morning,4.71,0.92,0,175
W004,23-01-2026,998,5.2,12,01:10:00,evening,4.99,0.92,0,121
W004,24-01-2026,1095,6.8,17,02:10:00,morning,4.65,0.92,1,146
W004,25-01-2026,1263,3.5,20,03:10:00,night,4.89,0.93,1,140
W004,27-01-2026,1040,4.4,14,04:10:00,afternoon,4.76,0.91,1,125
W004,28-01-2026,817,5.8,10,05:10:00,night,4.75,0.97,1,160
W004,29-01-2026,1040,6.4,14,06:10:00,afternoon,4.71,0.98,0,141
W004,30-01-2026,1071,4.1,16,07:10:00,evening,4.78,0.93,0,111
W004,31-01-2026,1202,5.9,18,08:10:00,morning,4.66,0.96,1,174
W004,01-02-2026,1049,7.9,14,09:10:00,afternoon,4.94,0.96,1,153
W004,02-02-2026,1275,5.3,18,10:10:00,night,4.99,0.93,0,129
W004,03-02-2026,964,6.6,14,11:10:00,afternoon,4.96,0.97,0,126
W004,04-02-2026,1062,6.4,13,12:10:00,morning,4.82,0.93,1,158
W004,05-02-2026,973,5.6,13,13:10:00,evening,4.97,0.92,0,127
W004,09-02-2026,1060,5.4,14,14:10:00,night,4.87,0.94,1,137
W004,10-02-2026,1002,4.4,16,15:10:00,night,4.77,0.97,1,174
W004,12-02-2026,1354,3.7,20,16:10:00,night,4.75,0.96,0,161
W004,13-02-2026,1245,3.8,15,17:10:00,night,4.71,0.96,1,101
W004,15-02-2026,1117,6.6,15,18:10:00,morning,4.76,0.95,0,112
W004,18-02-2026,930,5.8,12,19:10:00,night,4.73,0.96,1,150
W004,19-02-2026,1095,5.3,14,20:10:00,night,4.91,0.93,1,118
W004,22-02-2026,1117,5.4,15,21:10:00,night,4.8,0.93,1,116
W004,24-02-2026,1098,7.5,15,22:10:00,afternoon,4.65,0.91,1,150
W004,25-02-2026,832,4.2,12,23:10:00,morning,4.68,0.96,1,160
W004,26-02-2026,1261,4.3,19,00:10:00,morning,4.91,0.95,1,159
W004,27-02-2026,1111,3.1,17,01:10:00,night,4.6,0.94,1,178
W004,01-03-2026,1038,7.8,14,02:10:00,evening,4.75,0.96,0,169
W005,11-01-2026,1286,6.7,20,03:10:00,morning,4.35,0.71,2,311
W005,12-01-2026,976,7.2,15,04:10:00,morning,4.11,0.78,4,306
W005,13-01-2026,677,7.3,11,05:10:00,night,4.16,0.77,2,361
W005,14-01-2026,466,4,5,06:10:00,night,4.5,0.81,4,439
W005,15-01-2026,765,6.6,12,07:10:00,night,4.35,0.84,2,384
W005,16-01-2026,769,3.9,9,08:10:00,afternoon,4.12,0.84,3,426
W005,17-01-2026,449,7.6,5,09:10:00,evening,4.15,0.72,4,363
W005,18-01-2026,804,6.2,13,10:10:00,evening,4.37,0.8,3,398
W005,19-01-2026,695,6.8,11,11:10:00,afternoon,4.15,0.81,2,322
W005,20-01-2026,574,6.6,8,12:10:00,night,4.03,0.81,4,385
W005,21-01-2026,978,6.2,12,13:10:00,night,4.27,0.84,4,366
W005,22-01-2026,532,6.1,8,14:10:00,morning,4.39,0.81,4,440
W005,23-01-2026,811,7.4,13,15:10:00,morning,4.19,0.78,3,331
W005,24-01-2026,637,4.1,11,16:10:00,night,4.39,0.79,4,362
W005,26-01-2026,1159,5.9,17,17:10:00,afternoon,4.46,0.75,4,446
W005,27-01-2026,1319,6,19,18:10:00,morning,4.49,0.77,3,432
W005,28-01-2026,641,5.4,10,19:10:00,night,4.31,0.75,4,440
W005,29-01-2026,855,4.6,12,20:10:00,afternoon,4.48,0.74,2,326
W005,31-01-2026,439,3.7,8,21:10:00,afternoon,4.34,0.71,2,416
W005,01-02-2026,274,4.7,5,22:10:00,evening,4.07,0.78,4,302
W005,02-02-2026,851,6.4,10,23:10:00,night,4.3,0.71,3,404
W005,03-02-2026,1393,6.2,19,00:10:00,morning,4.29,0.81,3,333
W005,04-02-2026,734,7.3,10,01:10:00,night,4.4,0.78,4,448
W005,05-02-2026,1196,3.2,16,02:10:00,morning,4.04,0.71,4,384
W005,06-02-2026,695,6.4,7,03:10:00,afternoon,4.28,0.74,2,335
W005,07-02-2026,200,3.6,5,04:10:00,morning,4.22,0.81,3,437
W005,08-02-2026,812,5.1,10,05:10:00,afternoon,4.48,0.7,2,396
W005,09-02-2026,833,4.1,9,06:10:00,morning,4.47,0.75,3,415
W005,10-02-2026,503,6.3,8,07:10:00,night,4.16,0.82,3,367
W005,11-02-2026,376,7.5,5,08:10:00,night,4.23,0.74,4,394
W005,12-02-2026,322,7,5,09:10:00,night,4.36,0.74,3,346
W005,15-02-2026,532,7.1,5,10:10:00,afternoon,4.33,0.82,4,344
W005,17-02-2026,693,3.9,9,11:10:00,morning,4.07,0.76,4,341
W005,18-02-2026,963,6.7,14,12:10:00,morning,4.4,0.7,3,428
W005,19-02-2026,677,7.4,8,13:10:00,afternoon,4.16,0.84,3,343
W005,20-02-2026,617,6.8,9,14:10:00,night,4.24,0.75,2,383
W005,21-02-2026,742,5.2,11,15:10:00,afternoon,4.2,0.77,2,349
W005,23-02-2026,1172,7.1,15,16:10:00,night,4.44,0.77,3,343
W005,24-02-2026,1041,6,14,17:10:00,night,4.41,0.85,4,363
W005,25-02-2026,1344,3.5,18,18:10:00,afternoon,4.38,0.79,2,408
W005,26-02-2026,1106,4.8,16,19:10:00,morning,4.21,0.77,2,351
W005,27-02-2026,681,3.4,8,20:10:00,morning,4.46,0.84,3,330
W006,02-01-2026,1055,6.2,14,21:10:00,night,4.76,0.92,1,165
W006,04-01-2026,1284,3.8,16,22:10:00,night,4.74,0.92,1,106
W006,05-01-2026,1153,6.6,15,23:10:00,morning,4.6,0.9,0,157
W006,08-01-2026,1072,5.5,13,00:10:00,night,4.89,0.9,0,111
W006,09-01-2026,1008,4.4,12,01:10:00,night,4.8,0.95,1,144
W006,11-01-2026,1143,4.4,16,02:10:00,night,4.71,0.91,0,108
W006,12-01-2026,1007,4.8,13,03:10:00,afternoon,4.62,0.95,1,126
W006,13-01-2026,1018,3.4,15,04:10:00,evening,4.69,0.92,0,106
W006,14-01-2026,1064,5.5,16,05:10:00,night,4.61,0.9,0,158
W006,17-01-2026,1024,4.1,13,06:10:00,afternoon,4.95,0.91,1,153
W006,18-01-2026,1341,3,19,07:10:00,night,4.88,0.91,1,101
W006,20-01-2026,1257,5.6,17,08:10:00,evening,4.96,0.96,0,127
W006,22-01-2026,1059,6.5,14,09:10:00,afternoon,4.64,0.92,0,150
W006,24-01-2026,1207,4.8,18,10:10:00,afternoon,4.9,0.96,1,140
W006,26-01-2026,836,6.9,12,11:10:00,evening,4.64,0.91,1,128
W006,27-01-2026,1090,5.7,13,12:10:00,evening,4.87,0.92,1,122
W006,28-01-2026,1267,6.8,16,13:10:00,morning,4.84,0.95,1,178
W006,01-02-2026,1244,7.5,18,14:10:00,afternoon,4.82,0.96,1,109
W006,02-02-2026,1210,4.5,15,15:10:00,night,4.8,0.96,1,127
W006,03-02-2026,1103,4.7,14,16:10:00,evening,4.63,0.91,0,103
W006,05-02-2026,1214,4.8,16,17:10:00,night,4.65,0.95,0,134
W006,06-02-2026,1057,3.5,14,18:10:00,morning,4.99,0.95,0,120
W006,07-02-2026,1068,6,16,19:10:00,afternoon,4.76,0.97,1,165
W006,08-02-2026,1224,3.7,15,20:10:00,afternoon,4.8,0.98,1,159
W006,09-02-2026,1123,7.5,16,21:10:00,night,4.84,0.93,0,154
W006,10-02-2026,1258,4.8,19,22:10:00,morning,4.62,0.94,0,122
W006,11-02-2026,1179,6.2,17,23:10:00,night,4.8,0.97,0,138
W006,12-02-2026,1358,6.8,18,00:10:00,afternoon,4.72,0.91,0,168
W006,13-02-2026,1069,4.2,14,01:10:00,evening,4.93,0.95,0,165
W006,14-02-2026,1084,3.5,16,02:10:00,night,4.87,0.93,0,151
W006,15-02-2026,973,3.5,11,03:10:00,night,4.68,0.96,1,107
W006,17-02-2026,1198,7.8,16,04:10:00,evening,4.64,0.98,1,170
W006,18-02-2026,1080,4.9,16,05:10:00,evening,4.75,0.92,1,165
W006,19-02-2026,1207,6.7,16,06:10:00,morning,4.96,0.93,0,136
W006,20-02-2026,879,5.8,12,07:10:00,night,4.96,0.97,1,134
W006,21-02-2026,1033,6.3,15,08:10:00,night,4.95,0.94,0,131
W006,22-02-2026,902,5.3,10,09:10:00,afternoon,4.82,0.97,0,157
W006,23-02-2026,1119,3.7,14,10:10:00,night,4.71,0.97,0,170
W006,24-02-2026,1327,4.4,19,11:10:00,night,4.61,0.9,1,128
W006,25-02-2026,1114,4.9,14,12:10:00,evening,4.69,0.93,1,118
W006,27-02-2026,1144,6.2,14,13:10:00,afternoon,4.9,0.98,0,153
W006,28-02-2026,1141,5,18,14:10:00,evening,4.83,0.94,1,122
W006,01-03-2026,1117,5.7,17,15:10:00,evening,4.79,0.91,0,174
W007,06-01-2026,1331,7.2,19,16:10:00,afternoon,4.74,0.91,0,151
W007,07-01-2026,1171,6.9,15,17:10:00,evening,4.63,0.91,0,113
W007,08-01-2026,831,4.6,11,18:10:00,evening,4.86,0.95,0,104
W007,11-01-2026,1095,3.6,16,19:10:00,evening,4.95,0.97,0,152
W007,12-01-2026,1401,4.6,20,20:10:00,morning,4.66,0.91,1,171
W007,13-01-2026,1346,8,18,21:10:00,morning,4.74,0.97,1,149
W007,14-01-2026,1314,4.8,20,22:10:00,evening,4.73,0.91,0,163
W007,15-01-2026,789,4.1,11,23:10:00,morning,4.71,0.93,1,176
W007,17-01-2026,1239,5.1,15,00:10:00,evening,4.99,0.94,1,171
W007,18-01-2026,982,4.6,14,01:10:00,night,4.84,0.95,0,121
W007,20-01-2026,1108,6,16,02:10:00,morning,4.68,0.96,0,146
W007,21-01-2026,1172,7.7,17,03:10:00,evening,4.7,0.96,1,125
W007,23-01-2026,1290,7,19,04:10:00,night,4.69,0.94,1,155
W007,24-01-2026,1184,4.1,15,05:10:00,morning,4.61,0.95,1,143
W007,26-01-2026,1010,6.4,15,06:10:00,morning,4.66,0.92,0,108
W007,28-01-2026,1094,3.6,13,07:10:00,night,4.78,0.93,1,133
W007,29-01-2026,944,5.1,15,08:10:00,evening,4.96,0.95,0,150
W007,31-01-2026,1242,7.2,18,09:10:00,morning,4.88,0.94,0,147
W007,01-02-2026,966,6.7,12,10:10:00,night,4.64,0.9,0,169
W007,02-02-2026,1206,6.9,15,11:10:00,night,4.66,0.91,0,169
W007,03-02-2026,943,7.7,14,12:10:00,morning,4.78,0.92,1,178
W007,04-02-2026,1162,6.8,14,13:10:00,night,4.99,0.93,1,105
W007,05-02-2026,1130,3.7,18,14:10:00,afternoon,4.9,0.9,1,177
W007,06-02-2026,998,7.3,14,15:10:00,evening,4.81,0.97,0,119
W007,07-02-2026,1126,6.4,15,16:10:00,evening,4.62,0.96,0,105
W007,08-02-2026,1345,5,19,17:10:00,afternoon,4.64,0.94,0,147
W007,09-02-2026,1158,4.2,16,18:10:00,afternoon,4.77,0.98,0,164
W007,10-02-2026,942,4.8,12,19:10:00,morning,4.63,0.94,0,174
W007,11-02-2026,1017,3.4,12,20:10:00,night,4.62,0.93,0,111
W007,13-02-2026,977,4.5,13,21:10:00,night,4.63,0.95,1,112
W007,14-02-2026,1219,4.9,19,22:10:00,evening,4.77,0.93,0,132
W007,15-02-2026,1140,4.8,17,23:10:00,evening,4.69,0.96,1,118
W007,16-02-2026,1266,7.2,18,00:10:00,night,4.63,0.93,1,147
W007,17-02-2026,843,4,10,01:10:00,evening,4.95,0.98,1,162
W007,19-02-2026,1322,6.8,18,02:10:00,morning,4.9,0.92,1,153
W007,22-02-2026,1071,6,17,03:10:00,evening,4.91,0.97,1,138
W007,24-02-2026,1017,6.4,13,04:10:00,afternoon,4.79,0.91,1,120
W007,25-02-2026,1015,6.3,14,05:10:00,morning,4.87,0.92,0,109
W007,26-02-2026,1221,5.9,19,06:10:00,night,4.74,0.96,0,167
W007,27-02-2026,1247,7.2,18,07:10:00,night,4.88,0.98,1,133
W007,28-02-2026,1065,6.5,17,08:10:00,morning,4.69,0.91,1,168
W007,01-03-2026,1134,3.1,16,09:10:00,night,4.82,0.92,0,105
W008,02-01-2026,1171,3.3,17,10:10:00,evening,4.73,0.93,0,170
W008,04-01-2026,1157,6.4,16,11:10:00,evening,4.68,0.92,1,153
W008,05-01-2026,1148,6,17,12:10:00,afternoon,4.7,0.91,0,174
W008,06-01-2026,1215,4.1,17,13:10:00,afternoon,4.75,0.94,0,167
W008,07-01-2026,1076,3.1,14,14:10:00,afternoon,4.84,0.91,1,136
W008,08-01-2026,1296,6.1,16,15:10:00,afternoon,4.78,0.95,1,171
W008,09-01-2026,999,3.8,14,16:10:00,afternoon,4.67,0.93,1,113
W008,10-01-2026,1020,6.6,16,17:10:00,afternoon,4.83,0.91,1,109
W008,12-01-2026,1145,6.3,16,18:10:00,morning,4.84,0.94,0,143
W008,14-01-2026,1141,5.5,16,19:10:00,night,4.99,0.98,1,166
W008,15-01-2026,1106,7.3,13,20:10:00,morning,4.62,0.97,0,120
W008,18-01-2026,1012,5.6,16,21:10:00,morning,4.77,0.93,0,151
W008,19-01-2026,1186,7.6,15,22:10:00,afternoon,4.99,0.93,0,110
W008,20-01-2026,1189,6.3,18,23:10:00,afternoon,4.77,0.96,0,177
W008,25-01-2026,907,7.9,13,00:10:00,morning,4.67,0.98,0,104
W008,26-01-2026,1180,7.1,14,01:10:00,morning,4.67,0.95,1,169
W008,27-01-2026,1330,7.8,19,02:10:00,evening,4.79,0.93,1,176
W008,28-01-2026,1383,3.6,21,03:10:00,morning,4.74,0.91,0,141
W008,29-01-2026,1001,4.7,15,04:10:00,night,4.79,0.91,0,171
W008,30-01-2026,1223,6,17,05:10:00,night,4.63,0.95,1,167
W008,31-01-2026,985,4.3,14,06:10:00,evening,4.72,0.94,0,174
W008,01-02-2026,1197,8,17,07:10:00,afternoon,4.71,0.91,1,139
W008,02-02-2026,896,5.9,14,08:10:00,night,4.86,0.96,1,123
W008,03-02-2026,853,4.7,12,09:10:00,night,4.76,0.91,1,130
W008,04-02-2026,1378,4,18,10:10:00,night,4.96,0.92,1,102
W008,05-02-2026,1060,6,13,11:10:00,night,4.6,0.96,1,110
W008,06-02-2026,989,7.9,13,12:10:00,afternoon,4.82,0.93,1,139
W008,07-02-2026,1173,6.9,16,13:10:00,morning,4.81,0.91,0,177
W008,08-02-2026,1027,4.8,14,14:10:00,morning,4.82,0.94,0,134
W008,09-02-2026,1033,6.2,13,15:10:00,morning,4.63,0.9,0,151
W008,10-02-2026,1091,3.8,14,16:10:00,night,4.87,0.94,1,178
W008,11-02-2026,1052,5.5,17,17:10:00,night,4.73,0.91,0,101
W008,13-02-2026,1393,7.4,18,18:10:00,afternoon,4.75,0.9,1,169
W008,14-02-2026,1218,4.6,16,19:10:00,afternoon,4.79,0.98,0,125
W008,15-02-2026,1117,5.4,16,20:10:00,morning,4.87,0.94,0,167
W008,16-02-2026,1378,7.4,19,21:10:00,night,4.82,0.91,1,112
W008,17-02-2026,1303,6.6,17,22:10:00,evening,4.81,0.92,0,123
W008,18-02-2026,958,3.9,15,23:10:00,afternoon,4.79,0.93,1,131
W008,20-02-2026,1162,4,16,00:10:00,morning,4.91,0.91,0,103
W008,21-02-2026,1191,3.1,17,01:10:00,morning,4.95,0.92,0,143
W008,22-02-2026,1104,7.1,17,02:10:00,night,4.86,0.95,0,154
W008,23-02-2026,1197,5.2,19,03:10:00,evening,4.82,0.92,0,131
W008,24-02-2026,1030,5.4,16,04:10:00,night,4.97,0.98,1,161
